B.Sc. BSc BSc. Engineer,education,
M.Sc. MSc Computer System and Networking,education,
MSc Hons MScHons,education,
BEng Hons,education,
Engineering in Computer Science,education,
BSC BIS,education,
Master of Technology IT,education,
Bachelor of Engineering Computer,education,
BSc Hons in Computing,education,
HND in Computing,education,
Bachelor Degree in Computer Applications,education,
Diploma in Computer Engineer,education,
Diploma in Computer Engineering,education,
Post Diploma in Computer Engineer,education,
Post Diploma in Computer Engineering,education,
BSc Hons BScHons,education,
Computer Design and Management,education,
Bachelors in Electronics & and communication Engineering,education,
BSc Hons Computing 2:1,education,
BSc Hons 2:1,education,
Bachelors of Engineering Honours Electronics & Communications,education,
BSC com sci info tech infotech,education,
Diploma spatial info systems,education,
Diploma spatial information systems,education,
Masters in Computer Application,education,
Master Degree,education,
BSC in Information Technology,education,
MSc in Network Security,education,
MSC in Computer Security,education,
BSc in IT,education,
B. S. in Computer Science,education,
Associate of applied science AAS in computer applications,education,
Associate of applied science AAS in computer electronics,education,
Associate of applied science AAS in computer game design,education,
Associate of applied science AAS in computer information systems,education,
Associate of applied science AAS in electronic engineering,education,
Associate of applied science AAS in telecommunications technology,education,
Associate of arts,education,
AA in computer information systems,education,
Associate of arts AA in internetworking technology,education,
Associate of biotechnology,education,
Associate of science AS in computer information science,education,
Associate of science AS in computer science,education,
Associate of science AS in electronics engineering technology,education,
Bachelor of computer applications,education,
Bachelor of computer information systems,education,
Bachelor of science in construction technology,education,
Bachelor of engineering,education,
Bachelor of information systems,education,
Bachelor of technology,education,
Bachelor of science in business and technology,education,
Bachelor of science in computer engineering,education,
Bachelor of science in computer science,education,
Bachelor of science in engineering science,education,
Bachelor of science in engineering technology,education,
Bachelor of science in information technology,education,
Bachelor of science in information systems,education,
Bachelor of science in software engineering,education,
Bachelor of science in systems engineering,education,
Master of accounting and information systems,education,
Master of applied science,education,
Master of computer applications,education,
Master of computer science,education,
Master of communication,education,
Master of creative technologies,education,
Master of educational technology,education,
Master of engineering,education,
Master of information systems,education,
Master of IT,education,
Master of network and communications management,education,
Master of network and communication management,education,
Master of science,education,
Master of science in computing research,education,
Master of science in cyber security,education,
Master of science in engineering,education,
Master of science in information systems,education,
Master of science in information technology,education,
Master of science in project management,education,
Master of science in quality assurance,education,
Master of science in risk management,education,
Master of technology,education,
Doctor Ph. D. PhD of engineering,education,
Doctor Ph. D. of science,education,
A.A.S. AAS Associate of applied science,education,
A.A.T. AAT Associate in applied technology Associate in applied tech. tech technology,education,
A.O.T. AOT Associate in occupational technology,education,
A.S. AS Associate of science,education,
B.E. BE Bachelor of engineering,education,
B.Tech. BTech Bachelor in Technology,education,
B.E.E. BEE Bachelor of electrical engineering,education,
B.S. B.Sc. BSc BS S.B. SB Bachelor of science,education,
B.S.C.S. BSCS B.S. in computer science BS in computer science Bachelor of science in computer science,education,
B.S.E. BSE B.S. in engineering BS in engineering Bachelor of science in engineering,education,
M.C.S. MCS Master of computer science,education,
M.E. ME Master of engineering,education,
M.S. MS M.Sc. MSc Master of science,education,
M.S.C.S. MSCS M.S. in computer science,education,
M.Sw.E. MSwE Master of software engineering,education,
D.Sc. DSc S.D. SD Sc.D. ScD Doctor of science,education,
Ph.D. PhD Doctor of philosophy,education,
Master of Science in Computer Science,education,
Postgraduate Diploma in Computer Science,education,
Bachelor of Science in Computer Science,education,
MSc. in Electrical Engineering,education,
Masters in Cyber Security,education,
M. S. in Physics,education,
Associates in Computer Technology,education,
M.S. in Computer & Information Sciences,education,
BS in Software Engineering in Computer Science,education,
Masters of Science in Computer Science,education,
B.S. Urban Planning,education,
Computer Science,education,
Electronics and Computer Technology,education,
Bachelor of Engineering in Computer Engineering,education,
Bachelor's of Science in Computer Science,education,
M.S. in Computer Science,education,
B.S. in Financial Mathematics & Financial Engineering,education,
M.Sc. in Information Technology,education,
Bachelor's in Computer Science,education,
Bachelor in Computer Engineering,education,
Associates in Computer Science,education,
Bachelor of Engineer,education,
Associates in Computer Science,education,
B.S. in Computer Science,education,
Bachelor in Computer Engineering,education,
Master of Science in Data Science specialization,education,
Bachelor of Technology in Information Technology,education,
Ph. D. in Cognitive Psychology,education,
Bachelor of Engineering,education,
B.E. in Computer Science,education,
M.S. in Computer Information Systems,education,
Masters of Science in Information Technology,education,
E.C.S. in Computer Science,education,
University of the Informatic Sciences,education,
Fatima Al-Zahraa Secondary School for Girls,education,
University of Science and Technology,education,
El Camino College,education,
University of Washington Bothell,education,
Pune University,education,
El Camino College,education,
University of Illinois at Springfield,education,
Fatima Al-Zahraa Secondary School for Girls,education,
University of Science and Technology,education,
University of Southern California,education,
Jawaharlal Nehru Technological University,education,
UCLA,education,
University of Houston,education,
Chaitanya Bharathi Institute of Technology,education,
The University of Houston Clear Lake,education,
Chaitanya Bharathi Institute of Technology,education,
University of Texas,education,
DeVry University,education,
George Mason University,education,
University of Mumbai,education,
Florida International University,education,
Cal State University Northridge,education,
University of Oregon,education,
Kent State University,education,
Purdue University,education,
Valparaiso University,education,
Valparaiso University,education,
Poznan University of Technology,education,
The University of Texas at El Paso,education,
Maharishi University of Management,education,
Maharishi University of Management,education,
Remington College Little Rock Campus,education,
University of Central Arkansas,education,
"Bachelor in Computer Engineering, IOE, Pulchowk Campus: Pulchowk, Lalitpur",education,
"High School - Khwopa Higher Secondary School: Dekocha, Bhaktapur",education,
"School Leaving Certificate - Holy Garden English Secondary School: Byasi, Bhaktapur",education,
SLC with 89% marks from HSEB in year 2067,education,
+2 with 79% marks from National School of Sciences in year 2070,education,
Tribhuvan University: Class of 2013,education,
Degree: Computer Engineering,education,
B.E. (Computer),education,
"Pulchowk Campus, Institue of Engineering",education,
+2 (Science),education,
V. S. Niketan Higher Secondary School,education,
SLC,education,
Mount Everest Higher Secondary School,education,
Bachelor of Engineering in Computer Engineering,education,
"Tribhuvan University, Institute of Engineering, Pulchowk Campus, Lalitpur, Nepal",education,
"10+2, Science",education,
"St. Xavier’s College, Kathmandu, Nepal",education,
School Leaving Certificate,education,
"Private Paradise Secondary School, Sindhupalchok, Nepal",education,
"SLC: AVM High School, Manbhawan (88%)",education,
"+2: St. Xavier's College, Maitighar (83%)",education,
"Bachelor: Institute Of Engineering, Pulchowk",education,
BACHELOR:,education,
QUALIFICATIONS: Bachelor in Computer Engineering,education,
UNIVERSITY: Tribhuwan University,education,
COLLEGE NAME: IOE Pulchowk Campus,education,
COLLEGE:,education,
QUALIFICATIONS: +2 in Science,education,
COLLEGE NAME: St. Xavier’s College,education,
COMPLETED IN YEAR: 2013,education,
SCHOOL:,education,
SCHOOL NAME: Graded English Medium School,education,
COMPLETED IN YEAR: 2010,education,
"Bachelor Degree in Computer Engineering from Institute of Engineering, Pulchowk Campus under Tribhuwan University",education,
"Completed +2 from White Gold International, Kathmandu (HSEB) in the year 2013 in Science stream by scoring 84.5% on aggregate",education,
Completed secondary Education (SLC Board) From Learning Realm International School (LRI) in the year of 2011 by scoring 91%,education,
QUALIFICATIONS: Bachelors in Computer Engineering,education,
UNIVERSITY: Tribhuwan University (TU),education,
"COLLEGE NAME: Pulchowk Campus, IOE",education,
INTERMEDIATE (SCIENCE):  2011-2013,education,
COLLEGE NAME: Caspian Valley College,education,
"ADDRESS: Kumaripati, Lalitpur",education,
GRADE: Distinction (76.2%),education,
SCHOOL (SLC): 2011,education,
SCHOOL NAME: Paribodh Boarding High School,education,
"ADDRESS: Dhobighat, Lalitpur",education,
GRADE: Distinction (81.375%),education,
"Bachelors in Computer Engineering, Central Campus Pulchowk (IOE), TU, Lalitpur",education,
2013-Present,education,
"HSEB - St. Xavier’s College, Maitighar",education,
2011-2013,education,
"Bachelor's in Computer Engineering - Pulchowk Campus (IOE), TU, Lalitpur [2013 - present]",education,
"HSEB - St. Lawrence College, Chabahil [2011-2013]",education,
"SLC - Tri-Jyoti Higher Secondary School, Budhanilkantha-14 [2011]",education,
Bachelor of Computer Engineering,education,
Pulchowk Engineering College,education,
Lalitpur,education,
+2-level (Intermediate level): 2011-2012,education,
Shikshadeep Higher Secondary School,education,
"Biratnagar, Morang",education,
Percentage: 78.2%,education,
SLC (Lower Secondary Level): at 2010,education,
Namuna Vidya Mandir,education,
"Biratnagar, Morang",education,
Percentage:  84.25%,education,
2011 SLC Mount Everest Higher Secondary School 90.13%,education,
2013 +2 (Science) SOS Hermann Gmeiner H S School 85.80%,education,
"BE Computer Institute of Engineering, Central Campus 76.6%",education,
"Bachelor's in Computer Engineering - Pulchowk Engineering Campus (IOE), TU, Lalitpur [2013-Present]",education,
"+2 Science Programme (HSEB) - Arniko Higher Secondary School, Biratnagar, Morang, Nepal [2011-2013]",education,
"SLC - Azalea Secondary Boarding School, Biratnagar, Morang, Nepal [2011]",education,
SLC Nepal Government Ujjwal Shishu Niketan 2010 90%,education,
+2 HSEB Kathmandu Bernhardt College 2012 80%,education,
Bachelor in Computer Engineering IOE Pulchowk Campus,education,
"Bal Viddhya Mandir Secondary School, Bhaktapur",education,
2011 AD | S.L.C (Nepal Government),education,
"NASA International HSS/College, Gairigaun, Kathmandu",education,
2013 AD | +2 Science (HSEB),education,
"IOE Central Campus, Pulchowk",education,
B.E. Computer (TU-IOE),education,
Kavre English Higher Secondary School,education,
2011 AD| S.L.C,education,
Caspian Valley HSS,education,
2013 AD| +2 Science (HSEB),education,
IOE Central Campus Pulchowk,education,
2017 AD | B.E. (Computer),education,
Motherland Higher Secondary English Boarding School,education,
2011 AD | S.L.C,education,
St. Xavier’s College,education,
2013 AD | +2 Science (HSEB),education,
"Central Campus, Pulchowk",education,
B.E. (Computer),education,
River Valley English Higher Secondary School,education,
2067 BS | S.L.C,education,
White House HSS,education,
2070 BS | +2 Science (HSEB),education,
IOE Central Campus Pulchowk,education,
2074 BS B.E. (Computer),education,
"B.E Computer Engineering, Pulchowk Campus, Lalitpur (2013-Running)",education,
"Khwopa Higher Secondary School, Bhaktapur, Percentage: 79.5%",education,
